,country_code,year,GDP-USD
353,LBN,1990,2838485353.96187
354,LKA,1990,8032551173.24014
355,LSO,1990,596410263.743849
356,LUX,1990,12778792853.6939
357,MAC,1990,3246481233.24397
358,MAR,1990,30179954774.9899
359,MDA,1990,
360,MDV,1990,215043969.849246
361,MEX,1990,261253675692.838
362,MLT,1990,2547163582.33149
363,MMR,1990,2115193503.48126
364,MNG,1990,2560785660.0
365,MUS,1990,2653485892.62519
366,MWI,1990,2737087861.60887
367,MYS,1990,44024585239.6137
368,NAM,1990,2789921853.37652
369,NER,1990,3512356507.88599
370,NLD,1990,318330511920.61
371,NOR,1990,119791843059.572
372,NPL,1990,3627560281.90505
373,NRU,1990,
374,NZL,1990,45495129385.0475
375,OMN,1990,11685045513.6541
376,PAK,1990,40010423970.4576
377,PAN,1990,6433967000.0
378,PER,1990,26410386962.8019
379,PHL,1990,50508286641.5746
380,POL,1990,65977748210.5263
381,PRK,1990,
382,PRT,1990,78713860216.5659
383,PYF,1990,3320159522.36573
384,QAT,1990,7360439423.07692
385,ROU,1990,38247882300.4904
386,RUS,1990,517014446227.929
387,SAU,1990,117630261604.888
388,SEN,1990,7390967360.42121
389,SGP,1990,36144336768.7023
390,SLE,1990,649644097.566129
391,SRB,1990,
392,SSD,1990,
393,SVK,1990,12747380650.0762
394,SVN,1990,
395,SWE,1990,261846194498.885
396,SWZ,1990,1114694040.66987
397,SYC,1990,392163560.879912
398,SYR,1990,23904498886.4143
399,TCA,1990,
400,THA,1990,85343190719.0107
401,TJK,1990,2629395066.27017
402,TLS,1990,
403,TTO,1990,5068000000.0
404,TUN,1990,12290568181.8182
405,TUR,1990,150655500191.644
406,TZA,1990,4258742891.66014
407,UKR,1990,79523809523.8095
408,URY,1990,9298807850.29979
409,USA,1990,5963144000000.0
410,UZB,1990,13360607990.6751
411,VEN,1990,48606952194.7752
412,VNM,1990,6471740805.56984
413,ZAF,1990,126048140141.869
414,ABW,1991,872067039.106145
415,ALB,1991,1099559027.77778
416,ARE,1991,51552165622.4462
417,ARG,1991,189719984268.485
418,ARM,1991,2069870129.87013
419,ATG,1991,481707407.407407
420,AUS,1991,325966686052.581
421,AUT,1991,173794177961.108
422,BEL,1991,210510999409.333
423,BFA,1991,3135045584.08387
424,BGR,1991,10943548387.0968
425,BHR,1991,4616223404.25532
426,BHS,1991,3111160000.0
427,BLR,1991,
428,BLZ,1991,594975697.04556
429,BMU,1991,1634900000.0
430,BOL,1991,5343262457.10226
431,BRA,1991,407337837837.838
432,BRB,1991,2020583702.08323
433,CAF,1991,1377374986.58709
434,CHE,1991,268901693863.319
435,CHL,1991,37846188180.81
436,CHN,1991,413375445354.473
437,CIV,1991,10492628587.8153
438,COD,1991,
439,COL,1991,49637993948.8402
440,CPV,1991,319827058.592875
441,CRI,1991,7196276092.461
442,CUB,1991,24316556025.6585
443,CYM,1991,
444,CYP,1991,5770197348.48485
445,CZE,1991,29859921158.8696
446,DEU,1991,1868945197407.19
447,DJI,1991,462421998.525779
448,DMA,1991,219762962.962963
449,DNK,1991,139224688814.195
450,DOM,1991,9824483339.94518
451,ECU,1991,16988535267.6338
452,EGY,1991,37387836490.5284
453,ESP,1991,577166174539.632
454,EST,1991,
455,FIN,1991,127773856785.767
456,FJI,1991,1383883249.591
457,FRA,1991,1269276828275.78
458,GAB,1991,5402919784.57004
459,GBR,1991,1142797178130.51
460,GEO,1991,6400000000.0
461,GHA,1991,6603185267.79643
462,GIN,1991,3015058206.91718
463,GMB,1991,690311080.515018
464,GNB,1991,257150374.069711
465,GRC,1991,105143232379.884
466,GRL,1991,1016500069.25708
467,GTM,1991,9406135143.41165
468,GUM,1991,
469,HKG,1991,88959997899.9293
470,HND,1991,4648668478.56753
471,HTI,1991,3473562850.25798
472,HUN,1991,34753569692.915
473,IDN,1991,116621996217.133
474,IND,1991,270105341879.226
475,IRL,1991,49787501584.4847
476,IRN,1991,
477,ISL,1991,6909730288.17061
478,ISR,1991,
479,ITA,1991,1246220156079.29
480,JAM,1991,4106207649.05547
481,JOR,1991,4344467193.25095
482,JPN,1991,3648065760648.88
483,KAZ,1991,24923076923.0769
484,KEN,1991,8151488783.19064
485,KGZ,1991,2569444444.44444
486,KHM,1991,
487,KIR,1991,47516817.8376576
488,KOR,1991,330647042837.334
489,KWT,1991,11009993703.1474
490,LAO,1991,1028087972.31085
491,LBN,1991,4690415092.53663
492,LKA,1991,9000362581.58086
493,LSO,1991,704325366.718393
494,LUX,1991,13834219728.293
495,MAC,1991,3765249711.09098
496,MAR,1991,32285573573.9185
497,MDA,1991,
498,MDV,1991,244396761.92334
499,MEX,1991,313139656145.745
500,MLT,1991,2750041434.26295
501,MMR,1991,2069832686.98061
502,MNG,1991,2379018326.31579
503,MUS,1991,2856889220.42679
504,MWI,1991,3206783830.41779
505,MYS,1991,49143148094.2683
506,NAM,1991,2996869281.48364
507,NER,1991,3285796874.97125
508,NLD,1991,327500327675.625
509,NOR,1991,121872464483.487
510,NPL,1991,3921476084.89072
511,NRU,1991,
512,NZL,1991,42745329732.163
513,OMN,1991,11341482444.7334
514,PAK,1991,45625336680.2047
515,PAN,1991,7074675500.0
516,PER,1991,34341465998.2003
517,PHL,1991,51784144942.727
518,POL,1991,85500935934.9901
519,PRK,1991,
520,PRT,1991,89233599278.4792
521,PYF,1991,3410078967.89823
522,QAT,1991,6883516483.51648
523,ROU,1991,28850634899.856
524,RUS,1991,517962962962.963
525,SAU,1991,132223257865.578
526,SEN,1991,7255210469.51743
527,SGP,1991,45466164978.2923
528,SLE,1991,780098205.215036
529,SRB,1991,
530,SSD,1991,
531,SVK,1991,14272201755.4704
532,SVN,1991,
533,SWE,1991,274229034311.699
534,SWZ,1991,1156135717.94598
535,SYC,1991,398307169.860405
536,SYR,1991,27756258351.8931
537,TCA,1991,
538,THA,1991,98234714971.0612
539,TJK,1991,2536585365.85366
540,TLS,1991,
541,TTO,1991,5307905882.35294
542,TUN,1991,13074782608.6957
543,TUR,1991,151034731543.624
544,TZA,1991,4956587894.07981
545,UKR,1991,76666666666.6667
546,URY,1991,11206176650.9075
547,USA,1991,6158129000000.0
548,UZB,1991,13677622222.2222
549,VEN,1991,53453444786.6256
550,VNM,1991,9613369520.41885
551,ZAF,1991,135203698237.977
552,ABW,1992,958659217.877095
553,ALB,1992,652174990.837304
554,ARE,1992,54239171887.769
555,ARG,1992,228778917308.17
556,ARM,1992,1272835453.42634
557,ATG,1992,499281481.481481
558,AUS,1992,325518458076.533
559,AUT,1992,195078126721.763
560,BEL,1992,234781652446.675
561,BFA,1992,3356692505.18266
562,BGR,1992,10350515463.9175
563,BHR,1992,4751063829.78723
564,BHS,1992,3109000000.0
565,BLR,1992,9200000000.0
566,BLZ,1992,693625168.24559
567,BMU,1992,1679900000.0
568,BOL,1992,5643868748.68126
569,BRA,1992,390590371724.558
570,BRB,1992,1957000000.0
571,CAF,1992,1411917553.12436
572,CHE,1992,279921425828.474
573,CHL,1992,45949608605.2333
574,CHN,1992,493136961883.002
575,CIV,1992,11152971284.4722
576,COD,1992,8850000000.0
577,COL,1992,58394443377.5416
578,CPV,1992,357160985.327413
579,CRI,1992,8564041916.15275
580,CUB,1992,22085858243.2432
581,CYM,1992,
582,CYP,1992,6912150456.32334
583,CZE,1992,34805013229.572
584,DEU,1992,2131571696931.75
585,DJI,1992,478058304.871118
586,DMA,1992,234059259.259259
587,DNK,1992,152915654478.885
588,DOM,1992,11605382504.0
589,ECU,1992,18094238119.0595
590,EGY,1992,41855986519.4235
591,ESP,1992,630916018202.503
592,EST,1992,
593,FIN,1992,112532519246.084
594,FJI,1992,1532411039.05479
595,FRA,1992,1401465923172.24
596,GAB,1992,5592390827.39854
597,GBR,1992,1179659529659.53
598,GEO,1992,3730000000.0
599,GHA,1992,6416103925.83267
600,GIN,1992,3284620423.06095
601,GMB,1992,714254256.122189
602,GNB,1992,226313443.749086
603,GRC,1992,116224672863.783
604,GRL,1992,1037916162.54976
605,GTM,1992,10440781587.5435
606,GUM,1992,
607,HKG,1992,104272507639.282
608,HND,1992,4943700431.07368
609,HTI,1992,2257129873.66261
610,HUN,1992,38730585922.2189
611,IDN,1992,128026966579.964
612,IND,1992,288208070278.013
613,IRL,1992,55918538121.3989
614,IRN,1992,
615,ISL,1992,7080981738.05606
616,ISR,1992,
617,ITA,1992,1320161644933.23
618,JAM,1992,3535460089.80719
619,JOR,1992,5310833193.59005
620,JPN,1992,3980702922117.66
621,KAZ,1992,24917355371.9008
622,KEN,1992,8209120763.04955
623,KGZ,1992,2316562500.0
624,KHM,1992,
625,KIR,1992,47736272.5168325
626,KOR,1992,355524903068.056
627,KWT,1992,19858555214.7239
628,LAO,1992,1127806944.61513
629,LBN,1992,5843579160.90122
630,LKA,1992,9703011635.86585
631,LSO,1992,831029861.704746
632,LUX,1992,15518702634.8808
633,MAC,1992,4914365189.04984
634,MAR,1992,33711069430.78
635,MDA,1992,
636,MDV,1992,284875809.039634
637,MEX,1992,363157832923.734
638,MLT,1992,3021910216.71827
639,MMR,1992,2411552296.53428
640,MNG,1992,1317611863.84977
641,MUS,1992,3224265890.42568
642,MWI,1992,2618837835.02508
643,MYS,1992,59167550162.956
644,NAM,1992,3429521699.4026
645,NER,1992,3386232579.22522
646,NLD,1992,362962872180.451
647,NOR,1992,130838040067.584
648,NPL,1992,3401211581.29176
649,NRU,1992,
650,NZL,1992,41649829859.6342
651,OMN,1992,12452275682.7048
652,PAK,1992,48884671947.4657
653,PAN,1992,8042337700.0
654,PER,1992,35966302303.263
655,PHL,1992,60422328242.1803
656,POL,1992,94337050693.2727
657,PRK,1992,
658,PRT,1992,107592098307.098
659,PYF,1992,3713785765.42205
660,QAT,1992,7646153983.51648
661,ROU,1992,25121666666.6667
662,RUS,1992,460290556900.726
663,SAU,1992,137087867284.342
664,SEN,1992,7769817839.95644
665,SGP,1992,52131320032.8797
666,SLE,1992,679997997.597116
667,SRB,1992,
668,SSD,1992,
669,SVK,1992,15495514296.8042
670,SVN,1992,
671,SWE,1992,284321115594.629
672,SWZ,1992,1284759927.54594
673,SYC,1992,461409398.855893
674,SYR,1992,33107349665.9243
675,TCA,1992,
676,THA,1992,111452746517.655
677,TJK,1992,1909246640.78093
678,TLS,1992,
679,TTO,1992,5439552941.17647
680,TUN,1992,15496708060.4184
681,TUR,1992,159104772991.851
682,TZA,1992,4601413526.28306
683,UKR,1992,73906020558.0029
684,URY,1992,12878148790.7348
685,USA,1992,6520327000000.0
686,UZB,1992,12941297376.0933
687,VEN,1992,60416519620.0849
688,VNM,1992,9866990236.43587
689,ZAF,1992,146956150986.636
690,ABW,1993,1083240223.46369
691,ALB,1993,1185315468.46295
692,ARE,1993,55625170253.337
693,ARG,1993,236741715015.015
694,ARM,1993,1201312829.27524
695,ATG,1993,535174074.074074
696,AUS,1993,312128302417.088
697,AUT,1993,190379720809.18
698,BEL,1993,224721795708.955
699,BFA,1993,3199536465.23328
700,BGR,1993,10832064941.654
701,BHR,1993,5200265957.44681
702,BHS,1993,3092000000.0
703,BLR,1993,16416666666.6667
704,BLZ,1993,750018765.327715
705,BMU,1993,1820359900.0
706,BOL,1993,5734699488.84934
707,BRA,1993,438302216833.007
708,BRB,1993,2063342117.03873
709,CAF,1993,1278781261.55928
710,CHE,1993,272237527070.926
711,CHL,1993,49287378587.5542
712,CHN,1993,619111946511.628
713,CIV,1993,11045760268.6163
714,COD,1993,10768000000.0
715,COL,1993,66474101301.1759
716,CPV,1993,490417389.682569
717,CRI,1993,9582868487.43217
718,CUB,1993,22367254864.8649
719,CYM,1993,
720,CYP,1993,6590291048.29211
721,CZE,1993,40866748705.1075
722,DEU,1993,2071323790370.28
723,DJI,1993,466048469.22986
724,DMA,1993,245525925.925926
725,DNK,1993,143195627014.605
726,DOM,1993,13081042400.0
727,ECU,1993,18938717358.6793
728,EGY,1993,46578631452.581
729,ESP,1993,525075636030.854
730,EST,1993,
731,FIN,1993,89214114708.0254
732,FJI,1993,1636101246.9394
733,FRA,1993,1322815612694.0
734,GAB,1993,4378645081.01769
735,GBR,1993,1061388722255.55
736,GEO,1993,2701301482.70181
737,GHA,1993,5968922939.37198
738,GIN,1993,3279096492.96264
739,GMB,1993,755040974.087322
740,GNB,1993,236880821.656388
741,GRC,1993,108809059155.767
742,GRL,1993,927214151.76793
743,GTM,1993,11400017301.4587
744,GUM,1993,
745,HKG,1993,120354212475.0
